,id,price_tnd,price_eur,location,city,governorate,Area,pieces,room,bathroom,age,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
3699,82b7278e-902c-4d33-8f76-a515e0163836,304000.0,94240.0,El Mourouj 6,El Mourouj,Ben Arous,141.0,4.0,3.0,1.0,0,2.0,36.6938694,10.2622167,15.2468224381805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3700,d5483117-d74a-4146-a743-fac850e711c4,275000.0,85250.0,Ezzahra,Ezzahra,Ben Arous,141.0,4.0,3.0,1.0,0,1.0,36.89147,10.16262,9.53373908202624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3701,64317106-bec0-4e4c-b6b8-b2563fdf06f3,259000.0,80290.0,El Mourouj 6,El Mourouj,Ben Arous,141.0,4.0,3.0,1.0,0,2.0,36.6938694,10.2622167,15.2468224381805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3702,da8edf11-d2b4-4b9a-951b-d7715fd01011,259000.0,80290.0,El Mourouj 6,El Mourouj,Ben Arous,141.0,4.0,3.0,1.0,0,2.0,36.6938694,10.2622167,15.2468224381805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3703,6e64c5a1-2486-4a55-b966-b61a3eeb3e8c,238000.0,73780.0,Hammam Lif,Hammam Lif,Ben Arous,141.0,4.0,3.0,1.0,5-10 ,1.0,36.7311,10.3277,18.230347164571,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
3706,cabaf9c4-e5f3-4192-8d90-9b295271e91c,672000.0,208320.0,Les Jardins de Carthage,Le Kram,tunis,140.0,4.0,3.0,1.0,0,2.0,36.8496291786654,10.3053534089209,14.5580311808492,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
3708,e1681884-5e1e-4b4c-a58e-a4ae7af9cad1,500000.0,155000.0,La Goulette,La Goulette,tunis,140.0,4.0,4.0,2.0,5-10 ,1.0,33.8869,9.5375,327.765254316544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3709,a0c9a5e7-83bc-41e6-8927-a37df467b0de,471000.0,146010.0,El Kantaoui,Hammam Sousse, Sousse,140.0,4.0,3.0,2.0,0,2.0,35.8847903644092,10.5882736083984,110.492412127461,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
3710,62cec440-488a-42fe-9de0-e763829acb2e,450000.0,139500.0,Cité Ennasr 2,Ariana Ville,Ariana,140.0,4.0,3.0,3.0,0,2.0,36.8625,10.19556,6.32498837542227,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3711,bd7f97c0-f13e-4324-b0e4-5cffc622a4b6,450000.0,139500.0,Hammamet Nord,Hammamet,Nabeul,140.0,4.0,3.0,2.0,0,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3712,0605bff8-7fc6-4ecd-8464-d356c20bbdef,420000.0,130200.0,Ain Zaghouan Nord,La Marsa,tunis,140.0,4.0,3.0,2.0,1-5 ,1.0,36.81881,10.16596,2.19113226059161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3713,1660742b-e09d-433b-9e58-538981fda15c,419000.0,129890.0,Cité Ennasr 1,Ariana Ville,Ariana,140.0,4.0,3.0,2.0,0,1.0,36.8625,10.19556,6.32498837542227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3714,c8312965-b36b-4d52-8688-724eaee240d9,410000.0,127100.0,Cité El Khalil,La Marsa,tunis,140.0,4.0,3.0,2.0,10-20 ,1.0,36.876389,10.325278,17.7221901283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3715,eb964dd9-2fde-4109-b663-100b1ffd9a85,400000.0,124000.0,Hammamet Nord,Hammamet,Nabeul,140.0,4.0,3.0,2.0,0,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
3717,56bd38d1-ac1b-4f1b-b485-f8ab6013af9e,399000.0,123690.0,Chotrana 1,La Soukra,Ariana,140.0,4.0,3.0,2.0,0,2.0,36.883333,10.25,11.3450822580238,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
3719,563e9c89-63b7-4daa-8b46-cfbc68d15d2a,390150.0,120946.5,Cité El Wafa,Nabeul,Nabeul,140.0,4.0,3.0,2.0,0,2.0,36.45056,10.73505,72.8250683705131,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
3721,4932190b-ef52-407a-a7df-37b7cfd819bb,365000.0,113150.0,Riadh al Andalous,Ariana Ville,Ariana,140.0,4.0,3.0,2.0,10-20 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
3722,cfa6e579-e008-4df8-977e-2cb7164aa25f,360000.0,111600.0,Les Jardins d'El Menzah 2,Ariana Ville,Ariana,140.0,4.0,3.0,1.0,1-5 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3723,016d58f9-8874-42f3-8ec2-1bf34c200e6e,360000.0,111600.0,Djerba,Djerba,Djerba,140.0,4.0,3.0,2.0,0,2.0,33.812633181956,10.986426153243,339.254398046519,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3725,a72bdf80-c438-410d-bf5b-5dc209b99d02,355000.0,110050.0,Sahloul,Sousse Ville, Sousse,140.0,4.0,3.0,2.0,0,2.0,35.8273,10.6339,118.316885677645,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3727,7dbdea5c-b1b7-4342-b8b9-94ba3ab0cde8,335000.0,103850.0,Chott Meriem,Akouda, Sousse,140.0,4.0,3.0,3.0,1-5 ,1.0,35.87,10.57,111.167790931873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3729,8d246528-1f0c-4942-9a98-0c8db1d1cb60,320000.0,99200.0,Ariana Essoghra,Raoued,Ariana,140.0,4.0,3.0,1.0,0,2.0,36.954444,10.191389,16.228614774176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3731,32b63758-eedf-4bcc-8ded-e813f4ec4abc,310000.0,96100.0,Aouina,La Marsa,tunis,140.0,4.0,3.0,2.0,5-10 ,1.0,36.8533886,10.2504908,9.2292545045686,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3732,e4bd571a-321f-4c92-91d1-439b34ce1b41,300000.0,93000.0,La Soukra,La Soukra,Ariana,140.0,4.0,3.0,1.0,10-20 ,0.0,36.883333,10.25,11.3450822580238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3734,199a5d8d-a0ba-470c-927a-240b50c4dbc3,300000.0,93000.0,Taieb Mhiri,Tunis,tunis,140.0,4.0,3.0,1.0,10-20 ,1.0,36.81881,10.16596,2.19113226059161,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3735,849e1745-6b7d-4fbd-ad8d-0f06e92f08c4,290000.0,89900.0,Chott Meriem,Akouda, Sousse,140.0,4.0,3.0,1.0,0,2.0,35.87,10.57,111.167790931873,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3736,da69a2d9-41c8-4bc8-a40b-5384c59cc89a,290000.0,89900.0,Bhar Lazreg,La Marsa,tunis,140.0,4.0,3.0,2.0,1-5 ,1.0,36.876389,10.325278,17.7221901283016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3737,55b328bb-c544-4332-b977-b0d63ba8c5f1,290000.0,89900.0,Taieb Mhiri,Tunis,tunis,140.0,4.0,3.0,2.0,0,2.0,36.89202027447,10.2318779687501,10.9073142990623,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3740,1472b75b-4759-463b-bee9-cb132ed60cd7,284000.0,88040.0,El Mourouj 6,El Mourouj,Ben Arous,140.0,4.0,3.0,1.0,0,2.0,36.6938694,10.2622167,15.2468224381805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3747,d53cd62b-9c86-4b0e-8061-bfa551d978c2,140000.0,43400.0,El Yasminette,Nouvelle Medina,Ben Arous,140.0,4.0,3.0,1.0,5-10 ,1.0,36.740852180511,10.2379956250779,9.54334296153539,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3756,29f9b44f-218b-4830-9ea9-1047719f4938,332900.0,103199.0,Djerba,Djerba,Djerba,139.0,4.0,3.0,2.0,0,2.0,33.8070272570027,10.9931188069336,340.038713265835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3757,6351c817-77a0-4089-9822-3b8607dd033e,330000.0,102300.0,Riadh al Andalous,Ariana Ville,Ariana,139.0,4.0,3.0,2.0,1-5 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3758,0dfcdbf1-0f85-49e4-a1d7-516f4a63378e,580000.0,179800.0,Hammamet Sud,Hammamet,Nabeul,138.0,4.0,3.0,2.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
3760,841d1ae2-caaf-43ed-a2cd-093ad8b9d67d,355000.0,110050.0,Cité Ennasr 2,Ariana Ville,Ariana,138.0,4.0,3.0,2.0,5-10 ,1.0,36.857757322465,10.1620538449858,6.01227031161428,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
3762,d7ca7798-6578-41a6-a7a2-1ed94fb46c3f,269000.0,83390.0,Aouina,La Marsa,tunis,138.0,4.0,3.0,2.0,5-10 ,1.0,36.8533886,10.2504908,9.2292545045686,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
