,id,price_tnd,price_eur,location,city,governorate,Area,pieces,room,bathroom,age,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
1,863e62e5-0bfe-49f3-ad97-e0ae91be68e9,3250000.0,1007500.0,El Kantaoui,Hammam Sousse, Sousse,1000.0,26.0,16.0,14.0,30-50 ,1.0,35.898175,10.58025,108.792931586895,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
5,67e06050-57c0-4665-8a2e-a9010b578e4a,1000000.0,310000.0,Sousse Riadh,Sousse Riadh, Sousse,1000.0,23.0,16.0,9.0,1-5 ,2.0,35.81433,10.63392,119.603210703078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,da303b71-fba9-42e9-a236-16ec176309d9,1200000.0,372000.0,Bou Mhel,Boumhel Bassatine,Ben Arous,510.0,18.0,14.0,4.0,5-10 ,1.0,36.57724,10.34246,30.8152660477654,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16,ffc63109-309e-4026-aecf-6ccb22447c38,950000.0,294500.0,El Gourjani,Tunis,tunis,538.0,17.0,16.0,5.0,30-50 ,1.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,12c80a59-8f9d-4cee-9554-eeae7aa3ab9c,650000.0,201500.0,Raoued,Raoued,Ariana,400.0,17.0,9.0,4.0,1-5 ,2.0,36.9575109148325,10.2257441043854,17.2428208849554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20,299f72f1-e107-4852-8b10-e90e1d207c36,2200000.0,682000.0,Hammamet,Hammamet,Nabeul,1000.0,16.0,6.0,6.0,1-5 ,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
21,160bfa7c-355a-426f-ba71-0b4ac44e75a5,1950000.0,604500.0,Riadh al Andalous,Ariana Ville,Ariana,800.0,16.0,10.0,8.0,0,2.0,36.8625,10.19556,6.32498837542227,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
31,06b33341-02b0-4802-8820-ea7867c08e07,1400000.0,434000.0,El Menzah 9,El Menzah,tunis,630.0,15.0,8.0,5.0,10-20 ,0.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
33,4ff16498-1e0e-4ed2-8427-826f7074ce13,800000.0,248000.0,Hammamet Nord,Hammamet,Nabeul,460.0,15.0,4.0,4.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
36,f3d44f5b-dcb6-4e13-bc46-b65551878efd,900000.0,279000.0,Aouina,La Marsa,tunis,700.0,14.0,10.0,4.0,10-20 ,1.0,36.8562350087038,10.2621495286255,10.4901199641479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,79f59a9c-cb16-469d-8f11-08009c2fc655,1400000.0,434000.0,Mahdia Ville,Mahdia Ville,Mahdia,420.0,14.0,12.0,12.0,0,2.0,35.5038453869607,11.0697102533341,173.267710844941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
40,76c38cbc-d43f-4001-922a-854139aeea0a,520000.0,161200.0,El Mourouj 4,El Mourouj,Ben Arous,300.0,14.0,6.0,4.0,1-5 ,1.0,36.6938694,10.2622167,15.2468224381805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
41,b570909d-2bd4-4862-b2ec-6fe91c861368,6200000.0,1922000.0,Mutuelle Ville,El Menzah,tunis,2000.0,13.0,10.0,5.0,10-20 ,1.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ef521da5-ae78-4e61-8ac4-0776b7b17320,2300000.0,713000.0,Chotrana 3,La Soukra,Ariana,1900.0,13.0,8.0,4.0,5-10 ,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
43,0ce9e02b-d2b0-455c-a53a-b89bc40e2815,1850000.0,573500.0,Montfleury,Tunis,tunis,1187.0,13.0,6.0,4.0,30-50 ,0.0,36.81881,10.16596,2.19113226059161,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
44,b71f4516-393e-48c9-a6a9-83ad23c600b6,2200000.0,682000.0,Hammamet Sud,Hammamet,Nabeul,1000.0,13.0,6.0,5.0,1-5 ,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
47,8a6452aa-7403-4d39-ab85-6e124a81207b,750000.0,232500.0,Hammamet Nord,Hammamet,Nabeul,760.0,13.0,6.0,5.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
48,8648508b-192a-4ae5-976f-900914561b8f,995000.0,308450.0,Cité Chaker,Raoued,Ariana,700.0,13.0,10.0,3.0,10-20 ,1.0,36.954444,10.191389,16.228614774176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
52,c6f31cd5-c27b-405f-ae70-7c271255bcc1,700000.0,217000.0,Hammamet Nord,Hammamet,Nabeul,600.0,13.0,4.0,4.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53,c9bb8073-597f-42b6-b0fd-67315244bb18,1400000.0,434000.0,El Menzah 9,El Menzah,tunis,550.0,13.0,5.0,2.0,5-10 ,2.0,36.8482637,10.1410889,6.40986136903085,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
54,2c8159ae-b300-478c-9b0e-043b0939a690,1650000.0,511500.0,Cité Ennasr 2,Ariana Ville,Ariana,515.0,13.0,7.0,5.0,10-20 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
56,43f82c77-14d1-4e6d-a6eb-3dbdaa41a8b3,650000.0,201500.0,Raoued,Raoued,Ariana,400.0,13.0,8.0,4.0,1-5 ,2.0,36.9577961883957,10.2252921219482,17.2585084728758,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
57,ae5a0e16-6f77-4982-a2ad-6cd28c568794,1500000.0,465000.0,Cité Mohamed Ali,Rades,Ben Arous,385.0,13.0,7.0,7.0,5-10 ,2.0,36.7727084440515,10.2793896816403,11.4957696233616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
61,f8cbb840-945b-43b6-b97d-4e28f4078f57,485000.0,150350.0,Cité El Khalil,La Marsa,tunis,120.0,13.0,9.0,5.0,5-10 ,1.0,36.876389,10.325278,17.7221901283016,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
63,496ebbf1-4ab9-4816-a02c-5c3840adc6d3,12000000.0,3720000.0,La Soukra,La Soukra,Ariana,6800.0,12.0,10.0,4.0,20-30 ,1.0,36.88833,10.27417,13.6515294537323,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
66,4db1a09d-9545-4cee-a3a7-161ce627e2fc,14000.0,4340.0,Le Kram,Le Kram,tunis,4000.0,12.0,12.0,12.0,0,1.0,36.833333,10.316667,15.3139811663917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,4b063d56-7d61-4177-b181-51794ff392cd,1800000.0,558000.0,El Kantaoui,Hammam Sousse, Sousse,900.0,12.0,8.0,4.0,10-20 ,1.0,33.8869,9.5375,327.765254316544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
72,91f1e823-82de-4449-b5ea-1ee9e03335df,800000.0,248000.0,Hammamet Sud,Hammamet,Nabeul,865.0,12.0,6.0,4.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
73,abdf76e6-6ada-4d58-971a-e7de1e6ab8cf,1850000.0,573500.0,Riadh al Andalous,Ariana Ville,Ariana,780.0,12.0,10.0,6.0,0,2.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
74,c3e3ca4e-8368-4f49-bb36-e1b892cf1e59,1900000.0,589000.0,Mutuelle Ville,El Menzah,tunis,761.0,12.0,12.0,4.0,20-30 ,0.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,89592c6c-98a1-4911-9cd9-7417171ece1b,1250000.0,387500.0,Ariana,Ariana Ville,Ariana,652.0,12.0,8.0,4.0,1-5 ,2.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
83,2ddc71ef-f935-44bd-acc6-f94e4d4d56d6,1100000.0,341000.0,Gammarth,La Marsa,tunis,500.0,12.0,11.0,5.0,1-5 ,2.0,36.876389,10.325278,17.7221901283016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,bf5832df-9d49-42f5-94c8-ab3ce090bca4,1170000.0,362700.0,Bellevue,El Ouardia,tunis,480.0,12.0,9.0,3.0,1-5 ,2.0,36.83561,10.21587,4.97542612901849,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
85,d81ddbc9-ffba-4aa0-b369-9c3fcb9e111a,550000.0,170500.0,La Marsa,La Marsa,tunis,446.0,12.0,4.0,2.0,1-5 ,2.0,36.876389,10.325278,17.7221901283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
86,313b8a40-9a6d-4a93-9da3-cf07916921f0,1600000.0,496000.0,Mahdia Ville,Mahdia Ville,Mahdia,420.0,12.0,11.0,11.0,0,2.0,33.8869,9.5375,327.765254316544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
93,d70c4d97-0a26-41bb-b64b-d588b235b2f9,420000.0,130200.0,Hammamet,Hammamet,Nabeul,360.0,12.0,7.0,6.0,1-5 ,1.0,36.4064490599802,10.5563723383912,60.4336897979933,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
98,1ebd959a-b275-426a-86fb-a0f984596d52,720000.0,223200.0,Djerba,Djerba,Djerba,266.0,12.0,4.0,3.0,0,2.0,33.8092721652541,10.9901396453313,339.71587713055,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99,51b3a6e2-e0be-4df3-a30d-9b4b30b183c7,550000.0,170500.0,Jaafar,Raoued,Ariana,265.0,12.0,7.0,3.0,10-20 ,1.0,36.954444,10.191389,16.228614774176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
100,6c4ca653-8f14-4c43-837f-f11e315068b4,773000.0,239630.0,Hammamet,Hammamet,Nabeul,262.0,12.0,3.0,3.0,0,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
102,e044e5b8-aaf4-454d-9ec1-b31376228c95,820000.0,254200.0,Denden,La Manouba,La Manouba,222.0,12.0,8.0,6.0,5-10 ,2.0,36.77494,10.1306,6.6306819340308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
103,9710589e-2a5e-41ab-be18-261690e6cf42,450000.0,139500.0,Bab El Assal,Tunis,tunis,150.0,12.0,6.0,6.0,"10,20",0.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,82536db9-aeb1-4687-ae38-8f04b9dbf218,2000000.0,620000.0,Chotrana 3,La Soukra,Ariana,1200.0,11.0,4.0,3.0,0,2.0,36.896544,10.217961,10.6556323701042,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
111,3b7b5144-aa26-4430-b9de-67c22684db31,1200000.0,372000.0,Hammamet,Hammamet,Nabeul,1000.0,11.0,5.0,4.0,1-5 ,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
116,0e576cd5-f48f-43bf-a8b9-d5ec0eb8ea4c,1200000.0,372000.0,El Manar 1,El Menzah,tunis,700.0,11.0,6.0,4.0,5-10 ,1.0,36.8331947,10.1384603,5.60719012128619,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
118,75d3369b-1453-473e-aa32-1c0666660f00,1600000.0,496000.0,El Menzah 6,Ariana Ville,Ariana,680.0,11.0,10.0,5.0,20-30 ,0.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
121,32e8250a-cba1-49fc-914f-36cde57efe7a,450000.0,139500.0,El Hajeb,Sfax Sud,Sfax,600.0,11.0,5.0,2.0,20-30 ,1.0,34.43071,10.38506,260.915300510146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,59553dd0-3081-4e83-af81-2b173f61cccf,950000.0,294500.0,Borj Louzir,La Soukra,Ariana,500.0,11.0,9.0,4.0,10-20 ,1.0,36.883333,10.25,11.3450822580238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
126,a5df89b3-75cd-4875-8d94-88a644280ded,650000.0,201500.0,Cité el Ghazela,Raoued,Ariana,463.0,11.0,9.0,5.0,10-20 ,1.0,36.954444,10.191389,16.228614774176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
127,9a5efa2b-16ed-408c-a4b7-4002023de970,1500000.0,465000.0,Le Kram,Le Kram,tunis,444.0,11.0,8.0,4.0,30-50 ,1.0,36.8340659405044,10.3196942015908,15.6597258364807,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
129,f327d513-6739-4a44-8a45-89debbc1092f,560000.0,173600.0,Hammamet Nord,Hammamet,Nabeul,410.0,11.0,6.0,5.0,1-5 ,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
130,df848bec-c759-442f-866a-dbe12cc88c59,3600000.0,1116000.0,La Marsa,La Marsa,tunis,400.0,11.0,7.0,4.0,"10,20",0.0,36.8863095400374,10.3202569047241,17.7289905592112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
131,b9926f70-0c16-45bd-af5f-8e67aca13510,850000.0,263500.0,Cité El Wafa,Nabeul,Nabeul,400.0,11.0,7.0,5.0,1-5 ,1.0,36.4400652685373,10.6862981689453,68.9669254139542,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
135,3b4f8a6d-d29f-4d8c-9dfe-46fec91f6cd9,750000.0,232500.0,Hammamet Sud,Hammamet,Nabeul,320.0,11.0,6.0,4.0,0,2.0,36.40108,10.61457,65.4597220191691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
137,d89e1238-c9c7-48ea-99c6-90d56731b554,330000.0,102300.0,Le Bardo,Le Bardo,tunis,200.0,11.0,4.0,2.0,20-30 ,1.0,36.8144703,10.1344725,5.30148623956287,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
141,55cf77d0-5cd0-417b-a205-20876ba34e97,389000.0,120590.0,Hammamet Nord,Hammamet,Nabeul,161.0,11.0,4.0,2.0,10-20 ,1.0,36.419773,10.661894,68.1327730498967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
148,553fc7f0-1ee9-46b0-ba68-3ff247bbfc92,825000.0,255750.0,Ghedaouna,Mornaguia,La Manouba,10000.0,10.0,9.0,5.0,1-5 ,1.0,36.8094099,9.9089889,30.3035267006511,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
149,17cebd34-d86d-4d44-ad7a-a816a047c7c1,890000.0,275900.0,Nabeul,Nabeul,Nabeul,6000.0,10.0,3.0,2.0,0,2.0,36.45056,10.73505,72.8250683705131,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
150,17e80da9-1b2a-42ab-b953-67e655fdde9f,3500000.0,1085000.0,La Soukra,La Soukra,Ariana,2700.0,10.0,8.0,6.0,0,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
155,74fcf0e4-f38a-4dd8-8874-b71adf7d4f5f,4500000.0,1395000.0,Les Berges Du Lac 1,La Marsa,tunis,1370.0,10.0,5.0,5.0,10-20 ,1.0,36.8355152,10.2241758,5.70971665057163,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
157,54a91067-50b4-4cba-8d01-af15859f33fc,1900000.0,589000.0,Le Bardo,Le Bardo,tunis,1300.0,10.0,8.0,2.0,10-20 ,0.0,36.83017,10.13736,5.54992694975533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,66a3aacb-04cb-4437-a889-79b84dec66a2,3000000.0,930000.0,Nabeul,Nabeul,Nabeul,1000.0,10.0,6.0,4.0,1-5 ,2.0,36.4391331020389,10.7014408177673,70.4016892781458,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
164,b858eef8-2282-4442-bc29-3da0c4bb912d,2750000.0,852500.0,Cité Jardins,Cité El Khadra,tunis,1000.0,10.0,5.0,3.0,10-20 ,1.0,36.8256005,10.1784327,2.11808436783851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,42011317-5afe-40fd-88fe-efa44ddad536,2900000.0,899000.0,El Menzah 4,El Menzah,tunis,966.0,10.0,6.0,6.0,5-10 ,1.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
167,df1cf793-fc45-457b-bfaf-f8149a0bb06b,890000.0,275900.0,Route Lafrane,Sfax Ville,Sfax,960.0,10.0,4.0,4.0,10-20 ,1.0,34.77064,10.719365,230.51475345782,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
169,b5252fdb-2dfe-4585-99e6-496077b2622f,2650000.0,821500.0,Yasmine Hammamet,Hammamet,Nabeul,790.0,10.0,7.0,6.0,1-5 ,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
170,13007b35-3cdb-45a3-a8ff-af0964943c2d,2000000.0,620000.0,Riadh al Andalous,Ariana Ville,Ariana,780.0,10.0,10.0,6.0,1-5 ,2.0,36.8886935712815,10.1624400830841,9.24213767273838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
171,898e3b1f-a598-4471-8be7-5380eecef424,980000.0,303800.0,Cité Ennasr,Mnihla,Ariana,750.0,10.0,8.0,4.0,1-5 ,2.0,36.8567806,10.1157421,9.15165203481795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
172,ad826642-7192-4fe9-a232-00b172ee8d47,950000.0,294500.0,Ezzahra,Ezzahra,Ben Arous,750.0,10.0,8.0,4.0,10-20 ,1.0,36.89147,10.16262,9.53373908202624,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,9d6c677a-0d62-45bd-acd2-581516039a03,2900000.0,899000.0,Carthage Byrsa,Carthage,tunis,700.0,10.0,7.0,6.0,0,1.0,36.8566,10.3258,16.956028959712,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
177,7b5f4af7-2a1f-47f7-bb54-76c027d0c7d1,1000000.0,310000.0,El Omrane Supérieur,El Omrane Superieur,tunis,650.0,10.0,8.0,2.0,20-30 ,1.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180,ae9a320f-1239-4e45-831a-3e57a2f9fa03,580000.0,179800.0,Borj Cedria,Hammam Chatt,Ben Arous,630.0,10.0,8.0,3.0,1-5 ,2.0,36.0683,9.97244,84.0946305610268,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
183,55bff12f-43f1-4101-ad3d-02194fdea63a,800000.0,248000.0,Mosque Erraoudha,La Soukra,Ariana,600.0,10.0,8.0,2.0,20-30 ,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184,f35b8df3-fad6-47c8-85f1-fc11ef771a3e,660000.0,204600.0,Hammamet,Hammamet,Nabeul,600.0,10.0,4.0,4.0,0,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
185,fc51d570-cd59-44d7-be2d-bb43dd0bbe1b,2320000.0,719200.0,Djerba,Djerba,Djerba,550.0,10.0,5.0,5.0,0,2.0,33.812286276669,10.9869650542156,339.306502968495,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
186,03d5f730-ef15-49ee-9a14-b2ad8e5a7722,1300000.0,403000.0,Hammamet Nord,Hammamet,Nabeul,550.0,10.0,4.0,2.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
193,4677a19f-4fa2-4f68-a864-00141540e7b1,1440000.0,446400.0,Sahloul,Sousse Ville, Sousse,454.0,10.0,7.0,4.0,10-20 ,1.0,35.7599477658289,10.5953646785889,123.368063189228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
195,1cc69024-f6f4-44e1-b30e-6fc296baeb2e,550000.0,170500.0,Cité Du Stade,La Marsa,tunis,446.0,10.0,4.0,2.0,5-10 ,1.0,36.8764423632757,10.3170464992518,16.9037901305011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
201,070a7b52-50b0-440e-a6af-50f94c64662f,620000.0,192200.0,Le Bardo,Le Bardo,tunis,400.0,10.0,8.0,2.0,1-5 ,1.0,36.83017,10.13736,5.54992694975533,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,adc3442c-4db6-453b-aa56-8d09b5facab5,650000.0,201500.0,Hammamet,Hammamet,Nabeul,380.0,10.0,4.0,4.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
210,71cb5084-8774-4bbc-818b-a181ad534ce8,720000.0,223200.0,Nabeul,Nabeul,Nabeul,320.0,10.0,5.0,3.0,1-5 ,1.0,36.45056,10.73505,72.8250683705131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
212,1a658e43-290e-4bd5-8e6b-4f706dd27a82,1300000.0,403000.0,Tunis Belvedere,El Menzah,tunis,318.0,10.0,8.0,6.0,70-100 ,0.0,36.8194363,10.1705906,1.86442879473874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
214,89297337-1a64-4a0b-a942-1567dfc9f235,450000.0,139500.0,Hammamet,Hammamet,Nabeul,300.0,10.0,7.0,4.0,1-5 ,2.0,36.4093729599124,10.5848518183532,62.435627162284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
218,72e39bb4-8e32-4eee-8ac7-376b4983d7c9,1250000.0,387500.0,Gammarth,La Marsa,tunis,270.0,10.0,8.0,2.0,0,2.0,36.876389,10.325278,17.7221901283016,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
221,1bb68da4-dd32-4b5f-a93f-adb804d25de3,590000.0,182900.0,Ettahrir,Ettahrir,tunis,240.0,10.0,7.0,3.0,10-20 ,1.0,36.81881,10.16596,2.19113226059161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
222,54ddf2fa-564a-468d-b883-7201ed1da0b1,330000.0,102300.0,La Marsa,La Marsa,tunis,206.0,10.0,5.0,3.0,1-5 ,2.0,36.876389,10.325278,17.7221901283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
223,9a4ed049-466e-46f3-b81c-662502362757,710000.0,220100.0,Le Kram,Le Kram,tunis,200.0,10.0,8.0,4.0,"10,20",0.0,36.833333,10.316667,15.3139811663917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,d7e68ee3-e8ec-4754-ae04-642c21278aed,400000.0,124000.0,Tabarka Ville,Tabarka,Jendouba,200.0,10.0,6.0,3.0,5-10 ,1.0,36.952,8.7581,159.077297803572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,f822459b-302e-4656-b263-701f9bbfa88a,220000.0,68200.0,Aghir,Midoun,Djerba,178.0,10.0,3.0,2.0,5-10 ,1.0,33.7827027917063,11.026704978943,343.587719897206,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
240,321a2a60-a27d-4cc1-bef6-20928c8b0bed,550000.0,170500.0,Yasmine Hammamet,Hammamet,Nabeul,12000.0,9.0,3.0,2.0,1-5 ,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
247,3f1400c5-20a6-4716-bf44-dbad8df8a84b,5200000.0,1612000.0,Carthage,Carthage,tunis,1330.0,9.0,4.0,4.0,"10,20",0.0,36.8694317,10.3164051,16.5057647881764,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,acaeec22-fc34-49c8-adb0-fa1ea403fe89,800000.0,248000.0,Zone Touristique,Tabarka,Jendouba,1300.0,9.0,6.0,2.0,0,2.0,36.952,8.7581,159.077297803572,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
251,8add89dd-9c33-4962-95ad-54b9259dac23,1250000.0,387500.0,Cité Ennouzha,Ariana Ville,Ariana,1104.0,9.0,7.0,4.0,10-20 ,1.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
256,22a74ad6-6309-48cd-8e2c-e8a874565df4,1600000.0,496000.0,El Menzah 6,Ariana Ville,Ariana,780.0,9.0,9.0,5.0,10-20 ,0.0,36.8625,10.19556,6.32498837542227,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
260,e58f371e-6fa3-4f74-a853-22b8cd2b74c6,650000.0,201500.0,Bellevue,El Ouardia,tunis,670.0,9.0,8.0,2.0,30-50 ,1.0,36.774385049578,10.1900135050966,3.63999335953499,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
